Lag Time [us], Corr. 1.1 [-], Corr 1.2 [-], Corr. 1.3 [-], Corr. 2.1 [-], Corr. 2.2 [-], Corr. 2.3 [-], ...
5.000000000000000000e-01,8.499999999999999778e-01,8.619999999999999885e-01,8.509999999999999787e-01,8.619999999999999885e-01,8.729999999999999982e-01,8.309999999999999609e-01
1.000000000000000000e+00,8.499999999999999778e-01,8.579999999999999849e-01,8.489999999999999769e-01,8.599999999999999867e-01,8.719999999999999973e-01,8.259999999999999565e-01
1.500000000000000000e+00,8.419999999999999707e-01,8.529999999999999805e-01,8.449999999999999734e-01,8.519999999999999796e-01,8.669999999999999929e-01,8.209999999999999520e-01
2.000000000000000000e+00,8.379999999999999671e-01,8.479999999999999760e-01,8.379999999999999671e-01,8.479999999999999760e-01,8.619999999999999885e-01,8.169999999999999485e-01
2.500000000000000000e+00,8.329999999999999627e-01,8.419999999999999707e-01,8.359999999999999654e-01,8.459999999999999742e-01,8.599999999999999867e-01,8.090000000000000524e-01
3.000000000000000000e+00,8.309999999999999609e-01,8.389999999999999680e-01,8.329999999999999627e-01,8.409999999999999698e-01,8.549999999999999822e-01,8.080000000000000515e-01
3.500000000000000000e+00,8.269999999999999574e-01,8.359999999999999654e-01,8.289999999999999591e-01,8.359999999999999654e-01,8.529999999999999805e-01,8.040000000000000480e-01
4.000000000000000000e+00,8.229999999999999538e-01,8.319999999999999618e-01,8.259999999999999565e-01,8.329999999999999627e-01,8.469999999999999751e-01,8.020000000000000462e-01
4.500000000000000000e+00,8.209999999999999520e-01,8.289999999999999591e-01,8.219999999999999529e-01,8.309999999999999609e-01,8.459999999999999742e-01,7.970000000000000417e-01
5.500000000000000000e+00,8.129999999999999449e-01,8.229999999999999538e-01,8.159999999999999476e-01,8.239999999999999547e-01,8.389999999999999680e-01,7.900000000000000355e-01
6.500000000000000000e+00,8.100000000000000533e-01,8.159999999999999476e-01,8.110000000000000542e-01,8.169999999999999485e-01,8.349999999999999645e-01,7.850000000000000311e-01
7.500000000000000000e+00,8.050000000000000488e-01,8.120000000000000551e-01,8.060000000000000497e-01,8.139999999999999458e-01,8.309999999999999609e-01,7.800000000000000266e-01
8.500000000000000000e+00,7.990000000000000435e-01,8.070000000000000506e-01,8.010000000000000453e-01,8.090000000000000524e-01,8.259999999999999565e-01,7.750000000000000222e-01
9.500000000000000000e+00,7.960000000000000409e-01,8.030000000000000471e-01,7.970000000000000417e-01,8.040000000000000480e-01,8.219999999999999529e-01,7.700000000000000178e-01
1.050000000000000000e+01,7.920000000000000373e-01,7.980000000000000426e-01,7.930000000000000382e-01,8.000000000000000444e-01,8.189999999999999503e-01,7.670000000000000151e-01
1.150000000000000000e+01,7.880000000000000338e-01,7.950000000000000400e-01,7.900000000000000355e-01,7.970000000000000417e-01,8.159999999999999476e-01,7.620000000000000107e-01
1.250000000000000000e+01,7.840000000000000302e-01,7.910000000000000364e-01,7.860000000000000320e-01,7.920000000000000373e-01,8.129999999999999449e-01,7.590000000000000080e-01
1.450000000000000000e+01,7.750000000000000222e-01,7.830000000000000293e-01,7.790000000000000258e-01,7.850000000000000311e-01,8.060000000000000497e-01,7.510000000000000009e-01
1.650000000000000000e+01,7.700000000000000178e-01,7.740000000000000213e-01,7.720000000000000195e-01,7.780000000000000249e-01,8.000000000000000444e-01,7.439999999999999947e-01
1.850000000000000000e+01,7.630000000000000115e-01,7.680000000000000160e-01,7.660000000000000142e-01,7.730000000000000204e-01,7.950000000000000400e-01,7.369999999999999885e-01
2.050000000000000000e+01,7.570000000000000062e-01,7.630000000000000115e-01,7.600000000000000089e-01,7.670000000000000151e-01,7.890000000000000346e-01,7.299999999999999822e-01
2.250000000000000000e+01,7.510000000000000009e-01,7.550000000000000044e-01,7.540000000000000036e-01,7.600000000000000089e-01,7.840000000000000302e-01,7.249999999999999778e-01
2.450000000000000000e+01,7.449999999999999956e-01,7.500000000000000000e-01,7.489999999999999991e-01,7.550000000000000044e-01,7.780000000000000249e-01,7.179999999999999716e-01
2.650000000000000000e+01,7.399999999999999911e-01,7.449999999999999956e-01,7.429999999999999938e-01,7.489999999999999991e-01,7.740000000000000213e-01,7.129999999999999671e-01
2.850000000000000000e+01,7.339999999999999858e-01,7.389999999999999902e-01,7.379999999999999893e-01,7.439999999999999947e-01,7.700000000000000178e-01,7.079999999999999627e-01
3.250000000000000000e+01,7.249999999999999778e-01,7.279999999999999805e-01,7.279999999999999805e-01,7.349999999999999867e-01,7.610000000000000098e-01,6.989999999999999547e-01
3.650000000000000000e+01,7.149999999999999689e-01,7.189999999999999725e-01,7.189999999999999725e-01,7.259999999999999787e-01,7.540000000000000036e-01,6.889999999999999458e-01
4.050000000000000000e+01,7.059999999999999609e-01,7.099999999999999645e-01,7.099999999999999645e-01,7.179999999999999716e-01,7.469999999999999973e-01,6.810000000000000497e-01
4.450000000000000000e+01,6.979999999999999538e-01,7.009999999999999565e-01,7.029999999999999583e-01,7.109999999999999654e-01,7.399999999999999911e-01,6.730000000000000426e-01
4.850000000000000000e+01,6.899999999999999467e-01,6.939999999999999503e-01,6.959999999999999520e-01,7.029999999999999583e-01,7.339999999999999858e-01,6.660000000000000364e-01
5.250000000000000000e+01,6.830000000000000515e-01,6.860000000000000542e-01,6.879999999999999449e-01,6.979999999999999538e-01,7.289999999999999813e-01,6.600000000000000311e-01
5.650000000000000000e+01,6.760000000000000453e-01,6.790000000000000480e-01,6.820000000000000506e-01,6.919999999999999485e-01,7.229999999999999760e-01,6.540000000000000258e-01
6.050000000000000000e+01,6.700000000000000400e-01,6.720000000000000417e-01,6.760000000000000453e-01,6.860000000000000542e-01,7.189999999999999725e-01,6.480000000000000204e-01
6.850000000000000000e+01,6.580000000000000293e-01,6.600000000000000311e-01,6.650000000000000355e-01,6.760000000000000453e-01,7.099999999999999645e-01,6.380000000000000115e-01
7.650000000000000000e+01,6.470000000000000195e-01,6.490000000000000213e-01,6.540000000000000258e-01,6.670000000000000373e-01,7.019999999999999574e-01,6.290000000000000036e-01
8.450000000000000000e+01,6.380000000000000115e-01,6.390000000000000124e-01,6.450000000000000178e-01,6.590000000000000302e-01,6.949999999999999512e-01,6.209999999999999964e-01
9.250000000000000000e+01,6.290000000000000036e-01,6.300000000000000044e-01,6.360000000000000098e-01,6.510000000000000231e-01,6.889999999999999458e-01,6.139999999999999902e-01
1.010000000000000000e+02,6.199999999999999956e-01,6.209999999999999964e-01,6.280000000000000027e-01,6.450000000000000178e-01,6.830000000000000515e-01,6.069999999999999840e-01
1.090000000000000000e+02,6.119999999999999885e-01,6.129999999999999893e-01,6.209999999999999964e-01,6.390000000000000124e-01,6.780000000000000471e-01,6.019999999999999796e-01
1.170000000000000000e+02,6.059999999999999831e-01,6.059999999999999831e-01,6.139999999999999902e-01,6.340000000000000080e-01,6.730000000000000426e-01,5.959999999999999742e-01
1.250000000000000000e+02,5.989999999999999769e-01,5.989999999999999769e-01,6.069999999999999840e-01,6.280000000000000027e-01,6.680000000000000382e-01,5.909999999999999698e-01
1.410000000000000000e+02,5.849999999999999645e-01,5.859999999999999654e-01,5.939999999999999725e-01,6.189999999999999947e-01,6.600000000000000311e-01,5.819999999999999618e-01
1.570000000000000000e+02,5.739999999999999547e-01,5.739999999999999547e-01,5.829999999999999627e-01,6.099999999999999867e-01,6.530000000000000249e-01,5.739999999999999547e-01
1.730000000000000000e+02,5.620000000000000551e-01,5.629999999999999449e-01,5.719999999999999529e-01,6.019999999999999796e-01,6.460000000000000187e-01,5.659999999999999476e-01
1.890000000000000000e+02,5.520000000000000462e-01,5.520000000000000462e-01,5.620000000000000551e-01,5.939999999999999725e-01,6.390000000000000124e-01,5.590000000000000524e-01
2.050000000000000000e+02,5.420000000000000373e-01,5.420000000000000373e-01,5.520000000000000462e-01,5.869999999999999662e-01,6.330000000000000071e-01,5.520000000000000462e-01
2.210000000000000000e+02,5.320000000000000284e-01,5.320000000000000284e-01,5.430000000000000382e-01,5.799999999999999600e-01,6.270000000000000018e-01,5.450000000000000400e-01
2.370000000000000000e+02,5.230000000000000204e-01,5.220000000000000195e-01,5.330000000000000293e-01,5.729999999999999538e-01,6.209999999999999964e-01,5.390000000000000346e-01
2.530000000000000000e+02,5.140000000000000124e-01,5.130000000000000115e-01,5.250000000000000222e-01,5.669999999999999485e-01,6.149999999999999911e-01,5.330000000000000293e-01
2.850000000000000000e+02,4.979999999999999982e-01,4.949999999999999956e-01,5.080000000000000071e-01,5.550000000000000488e-01,6.039999999999999813e-01,5.210000000000000187e-01
3.170000000000000000e+02,4.819999999999999840e-01,4.779999999999999805e-01,4.929999999999999938e-01,5.430000000000000382e-01,5.939999999999999725e-01,5.090000000000000080e-01
3.490000000000000000e+02,4.670000000000000262e-01,4.630000000000000226e-01,4.779999999999999805e-01,5.320000000000000284e-01,5.829999999999999627e-01,4.979999999999999982e-01
3.810000000000000000e+02,4.520000000000000129e-01,4.480000000000000093e-01,4.640000000000000235e-01,5.220000000000000195e-01,5.729999999999999538e-01,4.859999999999999876e-01
4.130000000000000000e+02,4.390000000000000013e-01,4.329999999999999960e-01,4.500000000000000111e-01,5.110000000000000098e-01,5.629999999999999449e-01,4.759999999999999787e-01
4.450000000000000000e+02,4.259999999999999898e-01,4.199999999999999845e-01,4.369999999999999996e-01,5.000000000000000000e-01,5.540000000000000480e-01,4.660000000000000253e-01
4.770000000000000000e+02,4.129999999999999782e-01,4.069999999999999729e-01,4.249999999999999889e-01,4.899999999999999911e-01,5.450000000000000400e-01,4.570000000000000173e-01
5.090000000000000000e+02,4.020000000000000240e-01,3.950000000000000178e-01,4.129999999999999782e-01,4.799999999999999822e-01,5.360000000000000320e-01,4.470000000000000084e-01
5.730000000000000000e+02,3.790000000000000036e-01,3.719999999999999973e-01,3.910000000000000142e-01,4.610000000000000209e-01,5.180000000000000160e-01,4.289999999999999925e-01
6.370000000000000000e+02,3.589999999999999858e-01,3.509999999999999787e-01,3.709999999999999964e-01,4.430000000000000049e-01,5.020000000000000018e-01,4.119999999999999774e-01
7.010000000000000000e+02,3.390000000000000235e-01,3.320000000000000173e-01,3.529999999999999805e-01,4.259999999999999898e-01,4.869999999999999885e-01,3.970000000000000195e-01
7.650000000000000000e+02,3.210000000000000075e-01,3.140000000000000013e-01,3.360000000000000209e-01,4.109999999999999765e-01,4.719999999999999751e-01,3.820000000000000062e-01
8.290000000000000000e+02,3.049999999999999933e-01,2.969999999999999862e-01,3.200000000000000067e-01,3.950000000000000178e-01,4.570000000000000173e-01,3.679999999999999938e-01
