X Lag Time,Record 1: EVs_3e10_000rpm_00-00min_NA_No2_230829 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No2_230829 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No2_230829 3,X Intensity,Record 1: EVs_3e10_000rpm_00-00min_NA_No2_230829 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No2_230829 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No2_230829 3
3.15E+06,0.00112,0.000442,0.00447,,,,
3.41E+06,0.000809,2.10E-05,0.00514,,,,
3.67E+06,0.00075,0.000505,0.00639,,,,
3.93E+06,0.000722,2.29E-05,0.0057,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
