X Lag Time,Record 1: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No1_230629 1,Record 2: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No1_230629 2,Record 3: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No1_230629 3,X Intensity,Record 1: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No1_230629 1,Record 2: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No1_230629 2,Record 3: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No1_230629 3
1.05E+06,0.00116,0,0.000415,,,,
1.18E+06,0.000892,0.000176,0.000167,,,,
1.31E+06,0.00144,0.000264,0.000182,,,,
1.44E+06,0.00149,0,0.000292,,,,
1.57E+06,0.00125,9.80E-05,0.000222,,,,
1.70E+06,0.00206,2.43E-05,0.000173,,,,
1.84E+06,0.0016,4.60E-06,0.000173,,,,
1.97E+06,0.00171,9.40E-05,0.000183,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
